時間複雑度: O(n + m * 6 + m * log(m) + m * log(m) + m) = O(mlog(m))

v_src     v_tgt     h_out     h_outのh_opp     h_outの所属面f
------------------------------------------------------------
0         5         2         33               0
0         7         30        47               10
0         6         34        32               11
0         25        36        1                12
0         1         45        38               15
1         0         38        45               12
1         25        40        37               13
1         26        43        39               14
1         7         46        51               15
1         32        52        188              17
1         36        186       209              62
1         33        193       42               64
1         76        207       192              69
2         17        4         116              1
2         21        6         11               2
2         3         9         16               3
2         18        14        3                4
2         4         17        13               5
2         62        114       8                38
3         21        10        141              3
3         2         16        9                5
3         4         19        15               6
3         29        27        160              9
3         20        142       29               47
3         27        161       18               53
4         2         13        17               4
4         3         15        19               5
4         27        20        164              6
4         18        130       12               43
4         22        145       129              48
4         28        162       144              54
5         25        0         155              0
5         0         33        2                11
5         24        153       400              51
5         131       401       410              133
5         6         408       35               136
6         0         32        34               10
6         5         35        408              11
6         7         167       31               55
6         70        405       413              135
6         131       409       407              136
6         71        411       166              137
7         6         31        167              10
7         0         47        30               15
7         1         51        46               17
7         71        165       169              55
7         32        170       53               56
8         54        71        74               23
8         9         72        79               24
8         56        80        279              26
8         91        270       70               90
8         92        280       272              93
9         54        73        276              24
9         8         79        72               26
9         98        277       576              92
9         56        577       78               192
10        55        82        284              27
10        92        282       286              94
10        99        287       298              95
10        95        299       81               99
11        61        86        323              28
11        13        87        85               29
11        170       321       704              107
11        62        335       89               111
11        122       702       334              234
12        13        90        343              30
12        15        110       92               36
12        62        344       345              114
12        17        346       349              115
12        65        350       351              116
12        66        352       109              117
13        11        85        87               28
13        62        88        342              29
13        15        91        97               30
13        61        93        84               31
13        67        98        99               32
13        14        100       95               33
13        12        343       90               114
14        13        95        100              31
14        67        101       365              33
14        61        355       94               118
14        123       362       354              120
14        127       363       361              121
15        12        92        110              30
15        13        97        91               32
15        67        104       96               34
15        66        108       120              36
15        69        121       124              40
15        16        125       103              41
16        15        103       125              34
16        69        123       368              41
16        68        366       370              122
16        67        371       102              123
17        18        5         117              1
17        65        107       348              35
17        2         116       4                38
17        22        118       106              39
17        62        347       115              115
17        12        349       346              116
18        2         3         14               1
18        4         12        130              4
18        17        117       5                39
18        22        131       119              43
19        26        136       152              45
19        21        139       376              46
19        20        150       138              50
19        128       373       385              124
19        129       377       372              125
19        130       386       388              128
19        23        389       135              129
20        33        21        26               7
20        29        24        28               8
20        3         29        142              9
20        19        138       150              46
20        21        143       140              47
20        26        151       23               50
21        62        7         128              2
21        2         11        6                3
21        129       126       375              42
21        20        140       143              46
21        3         141       10               47
21        19        376       139              125
22        17        106       118              35
22        18        119       131              39
22        4         129       145              43
22        65        132       105              44
22        28        146       134              48
23        19        135       389              45
23        26        147       137              49
23        25        158       149              52
23        130       387       398              129
23        24        396       157              132
24        25        154       156              51
24        23        157       396              52
24        130       397       402              132
24        5         400       153              133
24        131       403       399              134
25        0         1         36               0
25        1         37        40               12
25        26        41        148              13
25        23        149       158              49
25        5         155       0                51
25        24        156       154              52
26        20        23        151              7
26        1         39        43               13
26        33        44        22               14
26        23        137       147              45
26        25        148       41               49
26        19        152       136              50
27        3         18        161              6
27        29        159       768              53
27        4         164       20               54
27        28        766       163              255
27        177       769       765              256
28        22        134       146              44
28        4         144       162              48
28        27        163       766              54
28        65        391       133              130
28        69        751       390              250
28        175       764       750              254
28        177       767       763              255
29        33        25        431              8
29        20        28        24               9
29        3         160       27               53
29        75        429       771              143
29        27        768       159              256
29        177       772       770              257
30        71        173       415              57
30        32        177       172              59
30        31        182       179              60
30        235       416       420              138
30        73        421       425              140
30        72        423       426              141
30        74        427       181              142
31        35        49        176              16
31        32        174       178              58
31        30        179       182              59
31        74        180       185              60
31        34        183       48               61
32        7         53        170              17
32        71        168       171              56
32        30        172       177              57
32        35        175       191              58
32        31        178       174              59
32        1         188       52               62
32        36        189       187              63
33        26        22        44               7
33        20        26        21               8
33        1         42        193              14
33        76        194       212              64
33        135       210       438              70
33        29        431       25               143
33        75        439       430              146
34        31        48        183              16
34        42        55        203              18
34        74        184       198              61
34        39        199       54               66
34        36        201       204              67
34        35        205       50               68
35        34        50        205              16
35        31        176       49               58
35        32        191       175              63
35        36        206       190              68
36        32        187       189              62
36        35        190       206              63
36        42        202       238              67
36        34        204       201              68
36        1         209       186              69
